TransactionID,Date,Amount_Paisa,Amount_INR,Direction,TransactionType,Category,Merchant,AccountType,Bank,MatchedRule,Confidence,P2P_Invariant_Applied,CounterpartyFound,AuditorComment,AuditorExpectedType
02368cbf-6684-4822-80b8-774ea4790bbd,2026-01-10 09:29:41,14000,140.00,DEBIT,EXPENSE,Food Outside,SWIGGY,CREDIT_CARD,Axis Bank,LEVEL_3_CC_SPEND,HIGH,No,No,✅ CORRECT - CC spend on known merchant,EXPENSE
fcd8d941-0672-4f9d-bdad-b4c21bccfd2c,2026-01-09,100,1.00,DEBIT,EXPENSE,Unknown Expense,CRED,UNKNOWN,ICICI,LEVEL_6_EXPENSE_FALLBACK,HIGH,No,No,⚠️ ISSUE - P2P to 'aishwarya rao00' but counterparty not extracted,TRANSFER_OUT
dac43165-bef9-4070-9147-7657c76ddb75,2026-01-08,7900,79.00,DEBIT,PENDING,Apparel / Shopping,AMAZON,CREDIT_CARD,ICICI,LEVEL_1_PENDING,INFO,No,No,✅ CORRECT - Standing instruction 'due by' detected,PENDING
c9fe1050-baee-4683-ae3c-02987b528309,2026-01-08,51700,517.00,CREDIT,CASHBACK,Cashback,AIRTEL,CREDIT_CARD,Axis Bank,LEVEL_1a_CASHBACK,HIGH,No,No,✅ CORRECT - Cashback correctly identified,CASHBACK
7077d584-2dd7-46b8-8c05-17461d191140,2026-01-05,29900,299.00,DEBIT,EXPENSE,Subscriptions,YOUTUBE,CREDIT_CARD,ICICI,LEVEL_6_EXPENSE_FALLBACK,HIGH,No,No,✅ CORRECT - Subscription spend (via fallback but correct),EXPENSE
cf5f9e82-92ae-4db3-9bf6-d75cf556993a,2026-01-04,10000000,100000.00,DEBIT,EXPENSE,Unknown Expense,CRED,CREDIT_CARD,IDFC FIRST,LEVEL_6_EXPENSE_FALLBACK,HIGH,No,No,⚠️ ISSUE - P2P to 'VAJRAPU SUVARNA PRAK' but counterparty not extracted,TRANSFER_OUT
d2d6ff34-9e8d-4578-a9ac-36216d7c7595,2026-01-04,32900,329.00,DEBIT,EXPENSE,Groceries,INSTAMA,CREDIT_CARD,Axis Bank,LEVEL_3_CC_SPEND,HIGH,No,No,✅ CORRECT - CC spend on merchant,EXPENSE
3f241365-32d7-490b-ab9f-8a8401a27821,2026-01-04,88642,886.42,DEBIT,EXPENSE,Mobile + WiFi,AIRTEL,CREDIT_CARD,Axis Bank,LEVEL_3_CC_SPEND,HIGH,No,No,✅ CORRECT - CC spend on Airtel bill,EXPENSE
88f94ced-7e4a-4398-9b6b-4e695c87fe9a,2026-01-03,5000000,50000.00,CREDIT,INCOME,Other Income,,SAVINGS,IDFC FIRST,LEVEL_5_INCOME,LOW,No,No,⚠️ REVIEW - Unidentified credit; needs user confirmation,INCOME/TRANSFER_IN
9d9757a5-5955-4c35-ae33-0123fbcb1401,2026-01-02,29900,299.00,DEBIT,PENDING,Subscriptions,YOUTUBE,CREDIT_CARD,ICICI,LEVEL_1_PENDING,INFO,No,No,✅ CORRECT - Standing instruction pending,PENDING
1532ce5a-a797-4dcf-8a8e-6e01d4122ff5,2026-01-02,20000,200.00,DEBIT,EXPENSE,Groceries,INSTAMA,CREDIT_CARD,Axis Bank,LEVEL_3_CC_SPEND,HIGH,No,No,✅ CORRECT - CC spend,EXPENSE
92bd529e-a591-458e-93b0-7df93ad442f2,2026-01-02,51000,510.00,DEBIT,EXPENSE,Apparel / Shopping,AMAZON,CREDIT_CARD,ICICI,LEVEL_6_EXPENSE_FALLBACK,HIGH,No,No,✅ CORRECT - Amazon purchase (via fallback but correct),EXPENSE
be794412-7b7c-4479-9a55-4af89a1c2e0a,2026-01-01,66300,663.00,DEBIT,EXPENSE,Food Outside,SWIGGY,CREDIT_CARD,Axis Bank,LEVEL_3_CC_SPEND,HIGH,No,No,✅ CORRECT - CC spend on Swiggy,EXPENSE
licious-pending,2026-01-01,69500,695.00,DEBIT,PENDING,Groceries,LICIOUS,,Tata Neu,LEVEL_1_PENDING,INFO,No,No,✅ CORRECT - Money request pending,PENDING
zerodha-pending,2025-12-31,200000,2000.00,DEBIT,PENDING,Investments / Dividends,ZERODHA,SAVINGS,PhonePe,LEVEL_1_PENDING,INFO,No,No,✅ CORRECT - Money request pending,PENDING
4e5dfdfb-29c9-4fb0-9e02-741ccbaee4b8,2025-12-30,297000,2970.00,CREDIT,LIABILITY_PAYMENT,Other Income,CRED,CREDIT_CARD,HDFC,LEVEL_2_CC_PAYMENT,HIGH,No,No,✅ CORRECT - CC bill payment receipt correctly identified,LIABILITY_PAYMENT
d2d4f6a8-7569-4c37-b4a9-4ce62924bbf5,2025-12-30,189300,1893.00,CREDIT,LIABILITY_PAYMENT,Other Income,CRED,CREDIT_CARD,HDFC,LEVEL_2_CC_PAYMENT,HIGH,No,No,✅ CORRECT - CC bill payment receipt correctly identified,LIABILITY_PAYMENT
